,,Formalbench,,,,SpecGen,,,,AutoReSpec,,,
Test case,Program type,success probability,completeness,# validator calls,time (s),success probability,completeness,# validator calls,time (s),success probability,completeness,# validator calls,time (s)
Block,Sequential,0,0,2.8,18.37,70,100,5.3,39.67,90,100,8.77,69.07
ColorConverter,Branched,0,0,1,16.22,60,19.21,7.5,101.76,90,87.5,9.22,294.75
Do,Single-path Loop,20,50,2.8,15.53,100,40,1,5.13,90,27.47,3.66,12.27
DoubleAbsolute,Branched,0,0,1.2,7.3,100,75,1,5.42,90,77.78,1.33,8.76
EntryList,Branched,0,0,3,18.86,20,60,5.9,43.88,50,68.59,13,209.1
HeapSort,Multi-path Loop,0,0,2.2,24.59,30,100,16.2,171.8,20,22.26,17,185.99
MergeSort,Multi-path Loop,0,0,1.4,22.6,90,21.28,9.4,88.95,0,0,20,57.94
MinimumUtil,Multi-path Loop,50,77.14,2.4,29.43,10,77.14,16.3,247.57,80,62.3,11.66,239.63
MNO,Sequential,0,0,2.4,21.58,20,22.22,3.2,38.65,90,1.38,13.1,91.8
MyObjectArray,Single-path Loop,0,0,2.2,21.22,40,100,9.2,112.4,20,66.67,16.5,134.97
NonNull,Sequential,20,100,2.8,19.45,100,100,1.4,10.22,90,100,1.8,19.5
Test3,Single-path Loop,0,0,1.4,17.88,100,100,1.6,105.27,40,25,12.3,71.24
